1, (2589,1690)
2, (2594,1693)
3, (2585,1719)
4, (2575,1705)
5, (2581,1703)
6, (2594,1690)
7, (2588,1706)
8, (2601,1691)
9, (2588,1711)
10, (2587,1697)
11, (2584,1721)
12, (2587,1703)
13, (2587,1711)
14, (2570,1718)
15, (2589,1702)
16, (2605,1693)
17, (2589,1707)
18, (2596,1690)
19, (2589,1708)
20, (2577,1706)
21, (2605,1696)
22, (2594,1696)
23, (2589,1706)
24, (2596,1697)
25, (2603,1701)
26, (2590,1699)
27, (2576,1724)
28, (2587,1712)
29, (2596,1696)
30, (2595,1691)
32, (2609,1678)
33, (2593,1699)
34, (2594,1694)
35, (2578,1702)
36, (2585,1711)
37, (2595,1695)
39, (2588,1712)
40, (2578,1735)
41, (2593,1693)
42, (2581,1690)
43, (2585,1707)
44, (2602,1706)
47, (2594,1691)
48, (2593,1697)
49, (2593,1693)
50, (2582,1699)
51, (2587,1694)
52, (2594,1693)
53, (2584,1706)
55, (2590,1699)
56, (2594,1700)
57, (2591,1703)
58, (2597,1695)
59, (2596,1687)
60, (2597,1687)
61, (2593,1696)
62, (2589,1707)
63, (2591,1696)
64, (2596,1687)
65, (2590,1699)
66, (2589,1709)
67, (2594,1703)
68, (2584,1719)
69, (2600,1689)
70, (2589,1707)
71, (2591,1708)
72, (2593,1689)
73, (2596,1689)
74, (2594,1689)
75, (2589,1707)
76, (2595,1693)
77, (2596,1697)
78, (2591,1694)
79, (2593,1699)
80, (2595,1697)
81, (2595,1696)
82, (2594,1689)
83, (2584,1712)
84, (2593,1697)
85, (2577,1695)
86, (2597,1695)
87, (2599,1693)
88, (2600,1699)
89, (2585,1718)
90, (2588,1711)
91, (2601,1709)
92, (2587,1708)
93, (2593,1690)
94, (2600,1701)
95, (2603,1682)
96, (2589,1695)
97, (2591,1696)
98, (2581,1706)
99, (2591,1701)
100, (2587,1702)
102, (2587,1697)
105, (2589,1670)
110, (2588,1643)
117, (2611,1573)
122, (2599,1553)
123, (2612,1565)
124, (2611,1557)
125, (2609,1547)
126, (2608,1540)
127, (2609,1567)
128, (2609,1541)
129, (2619,1558)
130, (2619,1541)
131, (2611,1549)
132, (2623,1562)
133, (2615,1529)
134, (2632,1570)
135, (2597,1540)
137, (2612,1556)
138, (2619,1549)
139, (2594,1557)
171, (2612,1545)
172, (2641,1544)
173, (2639,1567)
174, (2621,1568)
175, (2605,1539)
176, (2593,1531)
177, (2612,1553)
178, (2615,1538)
179, (2641,1552)
180, (2613,1557)
181, (2607,1553)
182, (2617,1532)
183, (2620,1537)
184, (2613,1539)
185, (2636,1539)
186, (2621,1541)
187, (2601,1526)
188, (2606,1537)
189, (2603,1522)
190, (2629,1511)
191, (2625,1529)
192, (2615,1517)
193, (2643,1510)
194, (2614,1499)
195, (2635,1486)
196, (2636,1499)
197, (2601,1474)
200, (2626,1467)
201, (2633,1471)
202, (2632,1465)
203, (2631,1469)
204, (2629,1466)
205, (2629,1483)
206, (2630,1471)
207, (2627,1469)
208, (2629,1472)
209, (2626,1484)
210, (2629,1479)
211, (2630,1472)
212, (2631,1483)
213, (2627,1473)
214, (2636,1471)
215, (2626,1471)
216, (2625,1471)
217, (2617,1471)
218, (2627,1473)
219, (2619,1473)
220, (2627,1467)
221, (2635,1487)
222, (2636,1489)
223, (2627,1475)
224, (2633,1463)
225, (2626,1468)
226, (2631,1492)
227, (2635,1480)
228, (2633,1461)
229, (2626,1484)
230, (2623,1479)
231, (2629,1481)
232, (2629,1487)
233, (2625,1480)
234, (2648,1474)
235, (2625,1467)
236, (2629,1475)
237, (2630,1479)
238, (2639,1483)
239, (2633,1473)
240, (2627,1471)
256, (2654,1287)
260, (2653,1273)
262, (2650,1277)
263, (2653,1280)
264, (2660,1281)
265, (2656,1274)
266, (2633,1255)
267, (2659,1287)
268, (2661,1281)
269, (2660,1285)
270, (2648,1287)
271, (2660,1274)
